"gemeinde","year","turnout","east_west","treated","area","land","CDU","SPD","AfD","AfD_change","SPD_change","CDU_change","Mainstream_change","turnout_change","baseline_CDU","baseline_SPD","CDU_change_base","SPD_change_base","AfD_diff_land","CDU_diff_land","SPD_diff_land","turnout_diff_land","CDU_land","SPD_land","AfD_land","turnout_land"
"Schwedt (Oder)",2019,54.8,"East",0,NA,"BB",14.2,33.6,26.2,15.5,-11.4,-1.7,-13.1,14.3,15.9,45,-1.7,-11.4,2.7,-1.4,7.4,-6.5,15.6,26.2,23.5,61.3
"Schwedt (Oder)",2024,66.6,"East",0,NA,"BB",9.7,31.7,33.1,6.9,-1.9,-4.5,-6.4,11.8,15.9,45,-6.2,-13.3,3.9,-2.4,0.800000000000001,-6.30000000000001,12.1,30.9,29.2,72.9
"Spremberg",2014,48.9,"East",1,"L","BB",26.1,36.6,12.1,NA,NA,NA,NA,NA,26.1,36.6,0,0,-0.0999999999999996,3.1,4.7,1,23,31.9,12.2,47.9
"Spremberg",2019,64.3,"East",1,"L","BB",16.6,23.5,36.4,24.3,-13.1,-9.5,-22.6,15.4,26.1,36.6,-9.5,-13.1,12.9,1,-2.7,3,15.6,26.2,23.5,61.3
"Spremberg",2024,73.2,"East",1,"L","BB",10.7,25.4,41.5,5.1,1.9,-5.9,-4.00000000000001,8.90000000000001,26.1,36.6,-15.4,-11.2,12.3,-1.4,-5.5,0.299999999999997,12.1,30.9,29.2,72.9
"Teichland",2014,55.8,"East",1,"L","BB",31.2,36,12.7,NA,NA,NA,NA,NA,31.2,36,0,0,0.5,8.2,4.1,7.9,23,31.9,12.2,47.9
"Teichland",2019,62.5,"East",1,"L","BB",15.4,23.2,35.7,23,-12.8,-15.8,-28.6,6.7,31.2,36,-15.8,-12.8,12.2,-0.199999999999999,-3,1.2,15.6,26.2,23.5,61.3
"Teichland",2024,66.5,"East",1,"L","BB",7.8,24.6,44.8,9.09999999999999,1.4,-7.6,-6.2,4,31.2,36,-23.4,-11.4,15.6,-4.3,-6.3,-6.40000000000001,12.1,30.9,29.2,72.9
"Weißwasser",2014,35.4,"East",1,"L","SN",36.3,13.5,10.1,NA,NA,NA,NA,NA,36.3,13.5,0,0,0.4,-2.7,1.1,-13.8,39,12.4,9.7,49.2
"Weißwasser",2019,58.7,"East",1,"L","SN",33.8,7.4,33.3,23.2,-6.1,-2.5,-8.6,23.3,36.3,13.5,-2.5,-6.1,5.8,1.7,-0.3,-7.8,32.1,7.7,27.5,66.5
"Weißwasser",2024,64.9,"East",1,"L","SN",32.1,4.9,38.7,5.40000000000001,-2.5,-1.7,-4.2,6.2,36.3,13.5,-4.2,-8.6,8.1,0.200000000000003,-2.4,-9.5,31.9,7.3,30.6,74.4
"Welzow",2014,48.6,"East",1,"L","BB",19.1,42.9,11.9,NA,NA,NA,NA,NA,19.1,42.9,0,0,-0.299999999999999,-3.9,11,0.700000000000003,23,31.9,12.2,47.9
"Welzow",2019,57.9,"East",1,"L","BB",14.1,32.4,28.5,16.6,-10.5,-5,-15.5,9.3,19.1,42.9,-5,-10.5,5,-1.5,6.2,-3.4,15.6,26.2,23.5,61.3
"Welzow",2024,68.1,"East",1,"L","BB",8.4,30,39,10.5,-2.4,-5.7,-8.1,10.2,19.1,42.9,-10.7,-12.9,9.8,-3.7,-0.899999999999999,-4.80000000000001,12.1,30.9,29.2,72.9
"Wittenberg",2016,52.4,"East",0,NA,"ST",35.2,9.5,22.5,NA,NA,NA,NA,NA,35.2,9.5,0,0,-1.8,5.4,-1.4,-8.7,29.8,10.9,24.3,61.1
"Wittenberg",2021,58.8,"East",0,NA,"ST",42.4,8,18.6,-3.9,-1.5,7.2,5.7,6.4,35.2,9.5,7.2,-1.5,-2.2,5.3,-0.4,-1.5,37.1,8.4,20.8,60.3
"Zeitz",2016,48.1,"East",1,"M","ST",29.2,9.5,30.3,NA,NA,NA,NA,NA,29.2,9.5,0,0,6,-0.600000000000001,-1.4,-13,29.8,10.9,24.3,61.1
"Zeitz",2021,50.2,"East",1,"M","ST",36.7,6.5,26.5,-3.8,-3,7.5,4.5,2.1,29.2,9.5,7.5,-3,5.7,-0.399999999999999,-1.9,-10.1,37.1,8.4,20.8,60.3
